Top 500,Item Code,Item Description,ITEM UPC
1,470875,DOMINO GRANULATED SUGAR,049200045503
2,458618,MARCAL 1000CT BT CLR POLY,043032022084
3,462156,TUTTOROSSO TOMATO-CRSH W/BASIL,072940756002
4,79875,DOMINO GRANULATED SUGAR,049200045503
5,466903,ENFAMIL PREMIUM LIPIL POWDER,300871365421
6,449951,GOLD MEDAL ALL PUR FLOUR,016000106109
7,68903,ENFAMIL PREMIUM LIPIL POWDER,300871365421
8,477369,OCN SPRAY JELLIED CRNBERRY SCE,031200016058
9,461661,GRN GNT W/K CORN,020000104737
10,439244,MRCHN RAMEN CHICKEN,041789002113
11,92592,ARIZNA ARNLD PALMR HLF&HLF CNS,613008725921
12,412136,YOO HOO 32PK #02028,072350020274
13,483131,SCOTT BATH TISSUE WH 20PLT,054000150296
14,74816,COOL WHIP REG TOPPING,043000009536
15,359,MRS SMITH APPLE PIE,027700548748
16,463477,OS CRANBERRY FLEX PLASTIC,031200200075
17,395,MRS SMITH PUMPKIN PIE,027700548816
18,75159,BREYERS NATURAL VANILLA IC,077567254238
19,404760,RONZONI CURLY LASAGNE #80,071300000809
20,472592,ARIZNA ARNLD PALMR HLF&HLF CNS,613008725921
21,49951,GOLD MEDAL ALL PUR FLOUR,016000106109
22,483127,SCOTT BATH TISSUE 12PK WH,054000100604
23,75065,KITCHEN BASICS CHICKEN STOCK,611443340013
24,461137,TUTT GREEN TOMATO PUREE1.038,072940757016
25,426957,NISSIN TOP RAMEN CHICKEN,070662010037
26,404757,RONZONI ELBOWS #35,071300000359
27,447622,WESSON CANOLA OIL 128OZ,027000690611
28,438995,PROG CKN NOODLE SOUP1088,041196010886
29,448319,WESSON VEGETABLE OIL 128OZ,027000612323
30,456182,COS SOLID WHT TUNA/WATER,048000000958
31,73249,CELESTE CHEESE PIZZA,019600046301
32,3171,BIRDS EYE GOLDEN CORN,014500010995
33,406140,VINTAGE SELTZER,072521049608
34,73285,CELESTE PEPPERONI PIZZA,019600046103
35,461154,TUTTGRN PLD PLUM TOMATOES,072940754008
36,15036,MARCAL 1000CT BT CLR POLY,043032022084
37,463317,MOTTS JUICE APPLE PLASTC,014800000344
38,444858,TIDY CAT LNG LAST ODOR CONTRO,070230107206
39,439241,MRCHN INST LUNCH CHICKEN,041789001215
40,61661,GRN GNT W/K CORN,020000104737
41,60756,PUR DOG CHOW DRY DOG FOOD,017800149150
42,404751,RONZONI SPAGHETTI,071300000083
43,4560,CUP O NOODLS-CHICKEN #3003,070662030035
44,423223,CARN EVAPORATED MILK,050000010110
45,458520,MAZOLA CORN OIL,761720058206
46,8369,OCN SPRAY JELLIED CRNBERRY SCE,031200016058
47,3232,BIRDS EYE MX VEG,014500011282
48,428145,LITE HALF/HALF ICE TEA/LEMONA,613008720858
49,437686,MAZOLA CORN OIL,761720058596
50,426450,MRCHN CHX NDLE RMN SPREME 12P,041789002311
51,439001,PROG CHICKARINA SOUP,041196010329
52,72798,STOUFFERS MACARONI&CHEESE,013800103406
53,433716,HNZ TURKEY GRAVY 79910,013000799102
54,497756,PUR DOG CHOW DRY DOG FOOD,017800149150
55,3180,BE SWEET PEAS 12/12OZ,014500011008
56,497397,MASECA CORN MASA MIX,037297914475
57,3922,"MRS SMITH 8"" BLBRRY PIE",027700548434
58,80576,KB UNSALTED CHKN STOCK,611443345032
59,438415,CAFE BUSTELO CAN,074471000500
60,469672,ARIZ GRN TEA 71512,613008715120
61,61666,GREEN GIANT CREAM CORN,020000105918
62,461057,RP CRAD TOM - HVY PUREE 28OZ,072940744016
63,462075,GRN GNT SWEET PEAS,020000103815
64,444889,TIDY CAT IMMEDIATE ODOR CNTRL,070230107701
65,44858,TIDY CAT LNG LAST ODOR CONTRO,070230107206
66,404768,RONZONI ZITI RIGATI,071300000014
67,451616,JIFFY CORN MUFFIN,072486002205
68,415308,RONZONI RIGATONI,071300000274
69,436690,CAFE BUSTELO ESPRESSO BRICK,074471017201
70,425644,DOMINO GRANULATED SUGAR-CANST,049200045701
71,3135,BIRDS EYE STM FRSH BROC CUTS,014500010988
72,404752,RONZONI THIN SPAGHETTI #9,071300000090
73,432055,GM HONEY NUT CHEERIOS,016000275270
74,73650,EGGO HOMESTYLE WAFFLES,038000402609
75,452822,RONZONI ZITI #2,071300000021
76,404560,CUP O NOODLS-CHICKEN #3003,070662030035
77,462157,TUTT GREEN TOMATO SAUCE,072940758013
78,70125,BIRDSEYE PEAS,014500004376
79,422017,MORTON SALT 25LB,024600046589
80,10270,HOOD GOLDEN VANILLA ICE CREAM,044100231889
81,93365,FOLGER CAF CAN CLASSIC ROAST,025500003658
82,441457,PROG ITALIAN STYLE WEDDING,041196915051
83,73263,BAGEL BITES 9CT THREE CHEESE,070085060107
84,49904,KING ARTHUR UNBLCH FLOUR,071012010509
85,449904,KING ARTHUR UNBLCH FLOUR,071012010509
86,70238,WYMAN'S   WILD BLUEBERRIES,079900001578
87,448323,WESSON CORN OIL 128OZ,027000650615
88,439003,PROG NE CLAM CHOWDER,041196011128
89,401781,PILLS PUMPKIN QUICK BREAD,051500795903
90,38995,PROG CKN NOODLE SOUP1088,041196010886
91,73280,CELESTE 4 CHEESE PIZZA,019600050308
92,406139,VINTAGE LEM/LIME SELTZER,072521049653
93,403036,PARMALAT WHT 1% LF MILK,024321915911
94,461269,GRN GNT CUT GREEN BEANS,020000111971
95,75157,BREYERS CHOCOLATE IC,077567254207
96,70429,SEABROOK FM CREAMED SPINACH,041206612604
97,62207,HALITE ROCK SALT 10LB,013600020224
98,70128,BIRDS EYE MIXED VEGETABLES,014500004406
99,448982,TIDY CAT ANTI-BAC ODOR CONTRO,070230102706
100,71929,ON COR SLSBRY STK/GRVY-6CT,070575040091
101,439513,COLLEGE INN CHICKEN BROTH,024000322306
102,33716,HNZ TURKEY GRAVY 79910,013000799102
103,70127,BIRDSEYE CUT CORN,014500004390
